,City Name,Cloud,Country,Date,Humidity,Latitude,Longitude,Maximum Temperature,Wind Speed
0,Khatanga,48,RU,1531977064,78,71.98,102.47,42.33,17.38
1,Tuktoyaktuk,75,CA,1531972800,48,69.44,-133.03,64.4,12.75
2,Victoria,75,BN,1531974600,75,5.28,115.24,91.4,3.36
3,Bodden Town,0,KY,1531976784,99,19.28,-81.25,84.09,8.43
4,Cermik,0,TR,1531975800,36,38.14,39.45,77.0,3.36
5,Naze,80,NG,1531977080,97,5.43,7.07,69.51,3.29
6,Alofi,92,NU,1531972800,88,-19.06,-169.92,78.8,4.7
7,Thompson,75,CA,1531972800,68,55.74,-97.86,64.4,4.7
8,Carazinho,0,BR,1531977085,69,-28.3,-52.79,60.42,10.0
9,Cumberland,1,US,1531976160,72,41.97,-71.43,64.4,4.7
10,Hilo,90,US,1531973940,83,19.71,-155.08,78.8,18.72
11,Saint-Philippe,1,CA,1531976100,100,45.36,-73.48,64.4,2.51
12,Saint-Ambroise,0,FR,1531976400,93,47.25,-0.65,59.0,2.95
13,Longyearbyen,75,NO,1531975800,93,78.22,15.63,44.6,5.82
14,Vanavara,24,RU,1531977095,54,60.35,102.28,69.42,3.74
15,Bluff,0,AU,1531976973,40,-23.58,149.07,74.01,11.45
16,Paracuru,75,BR,1531972800,78,-3.41,-39.03,80.6,11.41
17,Rio Grande,0,BR,1531976841,84,-32.03,-52.1,60.69,8.43
18,Wyndham,20,GB,1531975800,82,51.61,-3.54,57.2,3.36
19,Vaini,100,IN,1531977102,99,15.34,74.49,71.49,9.44
20,Bredasdorp,92,ZA,1531972800,51,-34.53,20.04,59.0,2.24
21,Prince Rupert,75,CA,1531972800,87,54.32,-130.32,55.4,5.82
22,Salalah,90,OM,1531972200,100,17.01,54.1,75.2,4.7
23,Sayyan,32,YE,1531977108,50,15.17,44.32,70.86,3.62
24,Chokurdakh,44,RU,1531976978,59,70.62,147.9,53.31,19.06
25,Nemuro,75,JP,1531972800,77,43.32,145.57,69.8,11.41
26,Butaritari,100,KI,1531977114,100,3.07,172.79,84.54,10.22
27,Carnarvon,0,ZA,1531977115,72,-30.97,22.13,36.48,9.55
28,Nantucket,1,US,1531974900,87,41.28,-70.1,62.6,3.36
29,Esperance,20,TT,1531972800,94,10.24,-61.45,77.0,5.75
30,Avarua,75,CK,1531976400,94,-21.21,-159.78,75.2,4.7
31,Orangeburg,75,US,1531976160,88,33.49,-80.86,80.6,3.36
32,Arona,0,IT,1531975800,72,45.76,8.56,69.8,6.93
33,Pucallpa,40,PE,1531972800,94,-8.38,-74.54,77.0,2.06
34,Honningsvag,0,NO,1531974000,64,70.98,25.97,68.0,12.75
35,Rikitea,0,PF,1531976965,100,-23.12,-134.97,72.39,25.77
36,Tasiilaq,48,GL,1531975800,80,65.61,-37.64,39.2,3.36
37,Sidi Ali,20,DZ,1531977128,91,36.1,0.42,66.63,2.84
38,Kapaa,75,US,1531972560,88,22.08,-159.32,84.2,16.11
39,Mutoko,0,ZW,1531977131,72,-17.4,32.23,52.86,4.18
40,Ushuaia,0,AR,1531972800,80,-54.81,-68.31,30.2,2.84
41,Kruisfontein,0,ZA,1531977135,59,-34.0,24.73,65.1,11.01
42,Mataura,0,NZ,1531977136,95,-46.19,168.86,43.23,3.62
43,Hithadhoo,80,MV,1531977138,100,-0.6,73.08,80.22,4.74
44,Mahebourg,40,MU,1531972800,60,-20.41,57.7,71.6,19.46
45,Iqaluit,90,CA,1531972800,81,63.75,-68.52,44.6,2.24
46,Puerto Ayora,76,EC,1531977142,100,-0.74,-90.35,70.95,15.7
47,Punta Arenas,0,CL,1531972800,92,-53.16,-70.91,19.4,4.7
48,Svetlaya,92,RU,1531977145,95,46.54,138.33,58.71,9.1
49,Walvis Bay,0,NA,1531977146,73,-22.95,14.51,68.43,21.07
50,Tautira,20,PF,1531976400,78,-17.73,-149.15,77.0,2.24
51,Cidreira,0,BR,1531977152,79,-30.17,-50.22,62.13,7.09
52,Cadillac,1,US,1531975620,100,44.25,-85.4,57.2,2.39
53,Lagoa,0,PT,1531976400,64,37.14,-8.45,68.0,6.93
54,Ishigaki,75,JP,1531972800,84,24.34,124.16,86.0,17.22
55,Cockburn Town,88,TC,1531976989,100,21.46,-71.14,80.4,19.39
56,Crotone,0,IT,1531977205,96,39.09,17.12,78.33,6.64
57,Caraballeda,76,VE,1531977207,100,10.61,-66.85,74.46,5.19
58,Kirkwall,48,GB,1531975800,87,58.98,-2.96,57.2,6.93
59,Kailua,90,US,1531975320,83,21.39,-157.74,82.4,14.99
60,Wembley,56,GB,1531975800,87,51.55,-0.3,59.0,1.12
61,Torbay,90,CA,1531976400,100,47.66,-52.73,68.0,21.92
62,Isangel,0,VU,1531977011,100,-19.55,169.27,70.95,15.82
63,Itoman,20,JP,1531976160,66,26.12,127.67,87.8,16.11
64,Buchanan,75,LR,1531976400,94,5.88,-10.05,75.2,3.96
65,Lucapa,0,AO,1531977157,55,-8.42,20.74,58.98,8.43
66,Cape Town,20,ZA,1531973160,37,-33.93,18.42,68.0,16.11
67,Wer,20,IN,1531977226,80,27.0,77.17,91.2,12.46
68,Mount Isa,0,AU,1531976400,14,-20.73,139.49,84.2,9.17
69,Port Alfred,0,ZA,1531977229,86,-33.59,26.89,61.5,8.43
70,Ponta do Sol,0,BR,1531977230,86,-20.63,-46.0,49.62,3.29
71,Springbok,8,ZA,1531977231,38,-29.67,17.88,52.77,12.24
72,East London,0,ZA,1531972800,47,-33.02,27.91,57.2,8.05
73,Arrifes,40,PT,1531976400,93,37.77,-25.7,66.2,3.36
74,Lebu,24,ET,1531977059,81,8.96,38.73,60.96,3.85
75,Komsomolskiy,76,RU,1531976997,60,67.55,63.78,58.26,4.74
76,Yellowknife,75,CA,1531972800,55,62.45,-114.38,64.4,8.05
77,Havelock,1,US,1531976040,94,34.88,-76.9,78.8,3.36
78,Hermanus,64,ZA,1531977242,62,-34.42,19.24,55.74,6.31
79,Nikolskoye,0,RU,1531974600,60,59.7,30.79,71.6,13.42
80,Kaitangata,64,NZ,1531977053,86,-46.28,169.85,44.76,2.95
81,Mehamn,0,NO,1531975800,37,71.03,27.85,82.4,12.75
82,Kavieng,100,PG,1531977044,100,-2.57,150.8,79.59,7.43
83,Shaoguan,24,CN,1531977270,75,24.81,113.59,87.06,3.18
84,Escanaba,1,US,1531972560,82,45.75,-87.06,62.6,12.01
85,Bambous Virieux,40,MU,1531972800,60,-20.34,57.76,71.6,19.46
86,Tullow,20,IE,1531972800,93,52.8,-6.74,46.4,2.24
87,Klaksvik,68,FO,1531975800,100,62.23,-6.59,50.0,11.41
88,Nuuk,92,GL,1531975800,87,64.17,-51.74,51.8,3.18
89,Faanui,88,PF,1531977281,100,-16.48,-151.75,79.32,22.53
90,Castro,0,CL,1531977283,100,-42.48,-73.76,25.59,2.28
91,Abeche,88,TD,1531977285,96,13.83,20.83,71.13,5.97
92,Kroya,0,ID,1531977286,48,-6.5,108.06,90.57,5.97
93,Kavaratti,80,IN,1531977288,98,10.57,72.64,82.29,24.54
94,Albany,1,US,1531976040,67,42.65,-73.75,62.6,5.82
95,Kodiak,75,US,1531972380,78,39.95,-94.76,78.8,5.82
96,Atuona,80,PF,1531977293,100,-9.8,-139.03,79.59,20.51
97,Mazatlan,75,MX,1531971780,74,23.22,-106.42,86.0,4.7
98,Zilupe,92,RU,1531977297,100,56.39,28.12,64.29,15.82
99,Wencheng,76,CN,1531977299,83,27.79,120.09,79.32,2.73
100,Puerto Rico,0,PY,1531977300,47,-26.82,-55.03,72.66,5.64
101,Khani,0,GE,1531974600,73,41.96,42.96,75.2,5.82
102,La Ronge,75,CA,1531972800,77,55.1,-105.3,62.6,2.06
103,Siniscola,0,IT,1531975800,73,40.57,9.69,71.6,2.24
104,Bethel,90,US,1531975980,76,60.79,-161.76,57.2,6.93
105,Clyde River,40,CA,1531976400,93,70.47,-68.59,39.2,3.36
106,Provideniya,90,RU,1531974600,100,64.42,-173.23,46.4,8.95
107,Aitape,92,PG,1531977311,91,-3.15,142.36,82.83,4.63
108,Airai,80,TL,1531977313,73,-8.93,125.41,76.44,2.28
109,Jamestown,80,AU,1531977314,57,-33.21,138.6,57.36,14.81
110,Henties Bay,0,NA,1531977316,56,-22.12,14.28,68.52,22.19
111,Ushtobe,0,KZ,1531977317,28,45.25,77.98,82.02,18.61
112,Narsaq,92,GL,1531975800,87,60.91,-46.05,50.0,4.7
113,Sydney,0,AU,1531976400,26,-33.85,151.22,71.6,6.93
114,Norman Wells,20,CA,1531976400,72,65.28,-126.83,60.8,4.7
115,Thinadhoo,44,MV,1531977237,100,0.53,72.93,79.86,6.87
116,Lata,88,IN,1531977324,99,30.78,78.62,66.36,1.83
117,Hit,0,IQ,1531977325,20,33.64,42.83,96.06,15.26
118,Coquimbo,0,CL,1531972800,81,-29.95,-71.34,44.6,4.7
119,Uglich,32,RU,1531977328,75,57.53,38.32,73.2,19.62
120,Lembeni,36,TZ,1531977329,76,-3.78,37.62,64.47,4.18
121,Hopelchen,40,MX,1531971840,83,19.77,-89.85,80.6,5.82
122,Jodhpur,44,IN,1531977332,100,26.3,73.04,85.08,4.63
123,Huarmey,0,PE,1531977336,94,-10.07,-78.15,50.79,1.95
124,Boende,68,CD,1531977337,95,-0.28,20.88,73.38,2.84
125,Dalbandin,0,PK,1531977338,19,28.9,64.41,102.81,4.41
126,Betanzos,75,ES,1531974600,88,43.28,-8.21,66.2,3.36
127,Bara,76,NG,1531977343,95,10.41,10.6,71.85,7.76
128,Kalmunai,20,LK,1531977345,47,7.42,81.82,94.35,6.76
129,Constitucion,0,MX,1531977346,75,23.99,-104.67,58.26,5.97
130,Souillac,0,FR,1531976400,82,45.6,-0.6,64.4,2.24
131,Mikhaylovka,68,RU,1531977349,80,52.96,103.29,72.39,3.4
132,Sao Filipe,80,CV,1531977351,100,14.9,-24.5,73.47,7.54
133,Arraial do Cabo,0,BR,1531977352,93,-22.97,-42.02,70.41,17.94
134,Pombas,0,BR,1531977353,57,-15.9,-54.74,71.13,7.76
135,Gibara,5,CU,1531972200,94,21.11,-76.13,73.4,2.24
136,Barra Bonita,0,BR,1531972800,60,-22.49,-48.56,71.6,5.82
137,Danane,92,CI,1531977359,100,7.26,-8.15,68.07,1.72
138,Lavrentiya,92,RU,1531977360,94,65.58,-170.99,42.87,4.29
139,Pasca,40,CO,1531972800,71,4.31,-74.3,55.4,2.24
140,Mount Gambier,88,AU,1531977364,88,-37.83,140.78,49.35,7.31
141,Talnakh,0,RU,1531977365,56,69.49,88.39,48.18,14.81
142,Sandwick,20,GB,1531972200,100,54.57,-2.89,53.6,5.82
143,Molokovo,76,RU,1531977368,76,58.16,36.77,71.58,15.59
144,Tankhoy,0,RU,1531977369,77,51.55,105.12,65.01,7.09
145,Chase,1,US,1531975620,82,43.89,-85.64,57.2,2.28
146,Kyabram,8,AU,1531977372,74,-36.31,145.05,56.19,11.9
147,Barrow,92,AR,1531977373,97,-38.31,-60.23,49.26,20.51
148,Stykkisholmur,100,IS,1531977375,99,65.08,-22.73,48.99,3.62
149,Tual,36,ID,1531977376,98,-5.67,132.75,79.41,11.79
150,Fairbanks,75,US,1531976280,35,64.84,-147.72,71.6,4.7
151,Ziro,40,IN,1531972800,63,27.54,93.82,95.0,5.82
152,Vostok,92,RU,1531977383,98,46.45,135.83,72.84,4.74
153,Dunedin,0,NZ,1531977386,91,-45.87,170.5,38.73,1.61
154,Mar del Plata,92,AR,1531977387,100,-46.43,-67.52,31.44,7.2
155,Mastung,0,PK,1531977388,33,29.8,66.85,91.65,3.74
156,Nizhniy Kuranakh,0,RU,1531977390,45,58.84,125.49,64.74,5.08
157,Whitehorse,75,CA,1531972800,87,60.72,-135.06,53.6,9.17
158,Sturgeon Bay,1,US,1531976160,82,44.83,-87.38,62.6,6.93
159,Sao Felix do Xingu,8,BR,1531977394,61,-6.64,-51.99,76.8,2.95
160,Jiuquan,44,CN,1531977395,40,39.73,98.49,73.92,11.45
161,Palmer,75,AU,1531976400,81,-34.85,139.16,51.8,3.36
162,Samarai,32,PG,1531977398,96,-10.62,150.67,79.23,14.25
163,Vila Franca do Campo,40,PT,1531976400,93,37.72,-25.43,66.2,3.36
164,Khorixas,32,NA,1531977401,48,-20.37,14.96,55.11,13.24
165,Road Town,40,VG,1531972380,83,18.42,-64.62,80.6,9.17
166,Camacha,75,PT,1531976400,60,33.08,-16.33,68.0,6.93
167,Paraiso,0,MX,1531977406,75,24.01,-104.61,58.26,5.97
168,Severo-Kurilsk,36,RU,1531977408,82,50.68,156.12,57.54,5.08
169,Ilulissat,0,GL,1531975800,93,69.22,-51.1,37.4,4.63
170,Leningradskiy,44,RU,1531977410,95,69.38,178.42,33.69,17.72
171,Port Elizabeth,1,US,1531976160,56,39.31,-74.98,73.4,5.82
172,Poya,0,NC,1531977413,100,-21.35,165.16,70.68,17.49
173,New Norfolk,75,AU,1531976400,57,-42.78,147.06,51.8,12.75
174,Lompoc,90,US,1531976880,100,34.64,-120.46,66.2,4.7
175,Vardo,1,US,1531976100,88,39.62,-77.74,73.4,3.36
176,Busselton,0,AU,1531977360,100,-33.64,115.35,59.61,11.01
177,Tubuala,20,PA,1531972800,94,9.52,-79.03,77.0,6.64
178,Kuloy,0,RU,1531977422,65,61.03,42.49,74.55,17.05
179,Dalkola,0,IN,1531977424,63,25.88,87.84,97.14,10.0
180,La Orilla,32,MX,1531977426,100,18.0,-102.23,79.41,2.39
181,Tiksi,0,RU,1531977427,78,71.64,128.87,56.19,8.88
182,Blind River,1,CA,1531976400,82,46.19,-82.96,62.6,6.93
183,Pacific Grove,90,US,1531976100,93,36.62,-121.92,59.0,3.36
184,Sibolga,36,ID,1531977431,80,1.74,98.78,79.59,2.73
185,Jalu,0,LY,1531977432,55,29.03,21.55,80.31,12.46
186,Saint-Georges,0,CA,1531977434,84,46.12,-70.67,48.36,2.39
187,Namibe,0,AO,1531977435,100,-15.19,12.15,65.19,9.78
188,Sirnak,0,TR,1531977437,24,37.52,42.46,78.69,2.51
189,Lannion,0,FR,1531976400,93,48.73,-3.46,57.2,3.36
190,Palestine,1,US,1531976100,66,31.76,-95.63,84.2,5.82
191,Buin,20,CL,1531976400,86,-33.73,-70.74,39.2,1.95
192,San Patricio,0,PY,1531977444,55,-26.98,-56.83,70.59,5.41
193,Ucluelet,8,CA,1531977447,89,48.94,-125.55,56.64,1.83
194,Rocky Mountain House,56,CA,1531977449,96,52.38,-114.92,55.74,3.06
195,Los Chiles,100,CR,1531977450,100,11.04,-84.71,73.11,2.73
196,Zabid,8,YE,1531977451,46,14.2,44.5,71.85,3.51
197,Ancud,0,CL,1531977453,75,-41.87,-73.83,27.57,3.74
198,Rocha,88,UY,1531977455,97,-34.48,-54.34,63.3,5.19
199,Umm Lajj,0,SA,1531977458,84,25.02,37.27,86.16,4.41
200,Siderno,0,IT,1531975800,78,38.28,16.3,75.2,14.99
201,Imeni Poliny Osipenko,92,RU,1531977461,100,52.42,136.49,69.78,5.41
202,Priargunsk,92,RU,1531977462,92,50.37,119.09,74.46,4.07
203,Sosnovo-Ozerskoye,68,RU,1531977463,95,52.53,111.54,65.19,7.2
204,Beyneu,68,KZ,1531977465,36,45.32,55.19,92.01,10.89
205,Aklavik,75,CA,1531976400,42,68.22,-135.01,64.4,8.05
206,Ostrovnoy,0,RU,1531977468,60,68.05,39.51,79.86,8.43
207,Oranjemund,76,ZA,1531977470,77,-28.55,16.43,64.47,12.68
208,Sangamner,88,IN,1531977471,91,19.57,74.2,77.79,18.39
209,San Francisco del Mar,44,MX,1531977472,89,16.34,-94.51,84.54,20.74
210,Zyryanka,48,RU,1531977475,67,65.73,150.89,48.63,2.95
211,Imbituba,0,BR,1531972800,100,-28.24,-48.67,62.6,8.05
212,Te Anau,56,NZ,1531977478,92,-45.41,167.72,42.15,2.39
213,Luanda,75,AO,1531972800,83,-8.83,13.24,71.6,5.82
214,Saskylakh,64,RU,1531977482,88,71.97,114.09,46.74,13.24
215,Fengcheng,92,CN,1531977483,86,40.45,124.07,78.33,6.2
216,Yangjiang,64,CN,1531977484,100,21.85,111.96,83.73,12.35
217,Quincy,75,US,1531977300,100,30.59,-84.58,78.8,4.41
218,Lamar,1,US,1531975980,51,38.09,-102.62,80.6,11.41
219,Taoudenni,0,ML,1531977489,15,22.68,-3.98,73.11,3.74
220,Jacareacanga,8,BR,1531977490,70,-6.22,-57.76,79.23,2.73
221,Hofn,64,IS,1531977492,100,64.25,-15.21,48.0,2.62
222,Hobart,75,AU,1531976400,57,-42.88,147.33,51.8,12.75
223,Puerto Maldonado,20,PE,1531977494,84,-12.59,-69.19,75.0,3.18
224,Glamoc,0,BA,1531977496,56,44.05,16.85,66.63,3.4
225,Rabaul,80,PG,1531977497,100,-4.2,152.17,80.13,7.43
226,Balakovo,12,RU,1531977499,77,52.02,47.82,78.87,6.2
227,Port Macquarie,0,AU,1531976400,33,-31.43,152.91,71.6,10.29
228,Yenagoa,92,NG,1531977501,97,4.92,6.26,71.85,3.29
229,Paamiut,92,GL,1531977503,84,61.99,-49.67,44.49,21.85
230,Qaanaaq,88,GL,1531977505,85,77.48,-69.36,39.45,5.97
231,Ballina,48,IE,1531977507,97,54.11,-9.15,50.34,3.51
232,Lima,64,PE,1531977429,82,-12.06,-77.04,51.96,1.95
233,Kerema,80,PG,1531977511,90,-7.96,145.78,77.07,2.95
234,Revelstoke,90,CA,1531976400,64,50.99,-118.19,69.8,2.24
235,Gravelbourg,68,CA,1531977514,64,49.88,-106.56,72.39,4.29
236,Tsaratanana,8,MG,1531977515,50,-16.8,47.65,68.61,17.16
237,Atikokan,0,CA,1531977516,82,48.76,-91.62,59.88,5.53
238,Longkou,44,CN,1531977518,73,37.64,120.47,84.99,4.74
239,Sinnamary,92,GF,1531977519,100,5.38,-52.96,79.14,9.66
240,Georgetown,20,GY,1531972800,94,6.8,-58.16,75.2,4.7
241,Olinda,0,EC,1531972800,77,-2.03,-79.75,69.8,9.17
242,Ribeira Grande,68,PT,1531977525,100,38.52,-28.7,70.41,19.06
243,Kahului,40,US,1531972560,74,20.89,-156.47,80.6,23.04
244,Santa Maria,0,BR,1531977530,66,-29.69,-53.81,62.76,11.23
245,Neiafu,75,TO,1531976400,88,-18.65,-173.98,77.0,5.41
246,Alpena,1,US,1531974900,72,45.06,-83.43,66.2,4.7
247,Portland,20,US,1531976160,56,45.52,-122.67,71.6,8.05
248,Atbasar,88,KZ,1531977536,49,51.81,68.36,80.4,8.21
249,Bud,75,NO,1531975800,76,62.91,6.91,57.2,2.24
250,Seoul,20,KR,1531976160,59,37.57,126.98,91.4,8.05
251,Koslan,0,RU,1531977541,62,63.46,48.9,68.43,6.42
252,Filadelfia,0,PY,1531977542,49,-22.35,-60.04,79.68,18.61
253,Teya,75,MX,1531975680,78,21.05,-89.07,80.6,5.82
254,Nanortalik,92,GL,1531977545,94,60.14,-45.24,39.54,13.02
255,Agutaya,48,PH,1531977546,94,11.15,120.94,86.52,20.74
256,Saint Albans,1,US,1531976100,100,44.81,-73.08,57.2,2.39
257,Hervey Bay,0,AU,1531977549,90,-25.3,152.85,67.35,2.84
258,Karlshus,0,NO,1531975800,93,59.35,10.87,64.4,2.24
259,Ngunguru,36,NZ,1531977552,98,-35.62,174.5,59.25,12.91
260,College,75,US,1531976280,35,64.86,-147.8,71.6,4.7
261,Karratha,0,AU,1531977556,14,-20.74,116.85,88.41,12.68
262,Sisimiut,0,GL,1531977557,97,66.94,-53.67,43.86,4.07
263,Moree,0,AU,1531977558,67,-29.46,149.84,62.67,8.66
264,Chuy,24,UY,1531977560,96,-33.69,-53.46,58.35,11.56
265,Fairview,1,US,1531976160,49,40.81,-74.0,75.2,7.43
266,Launceston,75,AU,1531976400,87,-41.43,147.14,48.2,14.99
267,Padang,80,ID,1531977565,100,-0.92,100.36,82.29,11.12
268,Kabanjahe,40,ID,1531974600,59,3.1,98.49,89.6,8.05
269,Torres,0,BR,1531977568,91,-29.34,-49.73,58.53,3.51
270,Urengoy,0,RU,1531977569,61,65.96,78.37,55.74,18.05
271,Malabo,12,CD,1531977570,59,1.56,30.43,67.71,3.51
272,Upernavik,68,GL,1531977572,100,72.79,-56.15,35.13,10.0
273,Fare,92,PF,1531977573,99,-16.7,-151.02,79.23,21.97
274,Port Lincoln,76,AU,1531977574,100,-34.72,135.86,52.77,19.73
275,Hasaki,75,JP,1531974600,59,35.73,140.83,91.4,11.41
276,Jinchang,0,CN,1531977577,46,38.52,102.19,81.3,4.07
